Date,Currency,Currency Pair,Buying,Selling,Mid Rate
23-Mar-22,Yuan Renminbi,CNYGHS,1.1136,1.1147,1.1142
22-Mar-22,Yuan Renminbi,CNYGHS,1.1166,1.1177,1.1172
21-Mar-22,Yuan Renminbi,CNYGHS,1.1184,1.1195,1.119
18-Mar-22,Yuan Renminbi,CNYGHS,1.1178,1.1187,1.1183
17-Mar-22,Yuan Renminbi,CNYGHS,1.1086,1.1094,1.109
16-Mar-22,Yuan Renminbi,CNYGHS,1.1073,1.108,1.1077
15-Mar-22,Yuan Renminbi,CNYGHS,1.1024,1.1029,1.1027
14-Mar-22,Yuan Renminbi,CNYGHS,1.1025,1.1027,1.1026
11-Mar-22,Yuan Renminbi,CNYGHS,1.1061,1.1071,1.1066
10-Mar-22,Yuan Renminbi,CNYGHS,1.1097,1.1108,1.1103
9-Mar-22,Yuan Renminbi,CNYGHS,1.1079,1.109,1.1085
8-Mar-22,Yuan Renminbi,CNYGHS,1.1093,1.1104,1.1099
4-Mar-22,Yuan Renminbi,CNYGHS,1.1079,1.1086,1.1083
3-Mar-22,Yuan Renminbi,CNYGHS,1.1065,1.1076,1.1071
2-Mar-22,Yuan Renminbi,CNYGHS,1.1064,1.1073,1.1069
1-Mar-22,Yuan Renminbi,CNYGHS,1.0613,1.0614,1.0614
28-Feb-22,Yuan Renminbi,CNYGHS,1.0454,1.0462,1.0458
25-Feb-22,Yuan Renminbi,CNYGHS,1.0439,1.0449,1.0444
24-Feb-22,Yuan Renminbi,CNYGHS,1.0265,1.0275,1.027
23-Feb-22,Yuan Renminbi,CNYGHS,1.0211,1.0221,1.0216
22-Feb-22,Yuan Renminbi,CNYGHS,1.0152,1.0161,1.0157
21-Feb-22,Yuan Renminbi,CNYGHS,1.0132,1.0142,1.0137
18-Feb-22,Yuan Renminbi,CNYGHS,1.0152,1.0158,1.0155
17-Feb-22,Yuan Renminbi,CNYGHS,0.9968,0.9974,0.9971
16-Feb-22,Yuan Renminbi,CNYGHS,0.9954,0.9961,0.9958
15-Feb-22,Yuan Renminbi,CNYGHS,0.9947,0.9953,0.995
14-Feb-22,Yuan Renminbi,CNYGHS,0.9898,0.9905,0.9902
11-Feb-22,Yuan Renminbi,CNYGHS,0.9918,0.9928,0.9923
10-Feb-22,Yuan Renminbi,CNYGHS,0.9765,0.9775,0.977
9-Feb-22,Yuan Renminbi,CNYGHS,0.9728,0.9738,0.9733
8-Feb-22,Yuan Renminbi,CNYGHS,0.9728,0.9737,0.9733
7-Feb-22,Yuan Renminbi,CNYGHS,0.9695,0.9704,0.97
4-Feb-22,Yuan Renminbi,CNYGHS,0.9595,0.9603,0.9599
3-Feb-22,Yuan Renminbi,CNYGHS,0.9596,0.9606,0.9601
2-Feb-22,Yuan Renminbi,CNYGHS,0.9586,0.9595,0.9591
1-Feb-22,Yuan Renminbi,CNYGHS,0.9587,0.9596,0.9592
31-Jan-22,Yuan Renminbi,CNYGHS,0.9438,0.9447,0.9443
28-Jan-22,Yuan Renminbi,CNYGHS,0.9462,0.947,0.9466
27-Jan-22,Yuan Renminbi,CNYGHS,0.9455,0.9461,0.9458
26-Jan-22,Yuan Renminbi,CNYGHS,0.9516,0.952,0.9518
25-Jan-22,Yuan Renminbi,CNYGHS,0.9497,0.9506,0.9502
24-Jan-22,Yuan Renminbi,CNYGHS,0.9487,0.9494,0.9491
21-Jan-22,Yuan Renminbi,CNYGHS,0.9481,0.9489,0.9485
20-Jan-22,Yuan Renminbi,CNYGHS,0.9477,0.9481,0.9479
19-Jan-22,Yuan Renminbi,CNYGHS,0.9465,0.9471,0.9468
18-Jan-22,Yuan Renminbi,CNYGHS,0.9455,0.9461,0.9458
17-Jan-22,Yuan Renminbi,CNYGHS,0.946,0.9464,0.9462
14-Jan-22,Yuan Renminbi,CNYGHS,0.9449,0.9458,0.9454
13-Jan-22,Yuan Renminbi,CNYGHS,0.9439,0.9448,0.9444
12-Jan-22,Yuan Renminbi,CNYGHS,0.9443,0.9451,0.9447
11-Jan-22,Yuan Renminbi,CNYGHS,0.9416,0.9425,0.9421
